40.4309030002, 86.9162460018, 41
40.4309030004, 86.9162460043, 41
40.4309030014, 86.9162460076, 41
40.4309030046, 86.9162460115, 39
40.4309030094, 86.9162460160, 40
40.4309030144, 86.9162460217, 36
40.4309030183, 86.9162460274, 40
40.4309030000, 86.9162460000, 40.4309030020, 86.9162460057, 46
40.4309030021, 86.9162460058, 5
40.4309030021, 86.9162460060, 5
40.4309030022, 86.9162460061, 6
40.4309030022, 86.9162460063, 7
40.4309030023, 86.9162460064, 7
40.4309030023, 86.9162460066, 8
40.4309030024, 86.9162460068, 5
40.4309030024, 86.9162460069, 5
40.4309030026, 86.9162460073, 6
40.4309030026, 86.9162460075, 7
40.4309030027, 86.9162460077, 7
40.4309030027, 86.9162460078, 8
40.4309030028, 86.9162460080, 5
40.4309030029, 86.9162460084, 6
40.4309030029, 86.9162460086, 5
40.4309030031, 86.9162460090, 7
40.4309030031, 86.9162460092, 7
40.4309030032, 86.9162460094, 8
40.4309030032, 86.9162460097, 5
40.4309030033, 86.9162460099, 5
40.4309030034, 86.9162460103, 6
40.4309030034, 86.9162460105, 7
40.4309030035, 86.9162460107, 7
40.4309030035, 86.9162460109, 8
40.4309030036, 86.9162460110, 5
40.4309030037, 86.9162460114, 6
40.4309030037, 86.9162460116, 5
40.4309030038, 86.9162460118, 7
40.4309030038, 86.9162460120, 7
40.4309030039, 86.9162460122, 8
40.4309030039, 86.9162460124, 5
40.4309030040, 86.9162460128, 6
40.4309030041, 86.9162460130, 5
40.4309030042, 86.9162460134, 7
40.4309030042, 86.9162460136, 7
40.4309030043, 86.9162460138, 8
40.4309030043, 86.9162460140, 5
40.4309030044, 86.9162460143, 5
40.4309030045, 86.9162460145, 5
40.4309030046, 86.9162460149, 7
40.4309030046, 86.9162460152, 5
40.4309030047, 86.9162460154, 7
40.4309030083, 86.9162460225, 36
40.4309030133, 86.9162460287, 38
40.4309030183, 86.9162460342, 38
40.4309030234, 86.9162460407, 39
40.4309030000, 86.9162460000, 40.4309030044, 86.9162460101, 45
40.4309030074, 86.9162460216, 37
40.4309030087, 86.9162460357, 40
40.4309030071, 86.9162460505, 39
40.4309030029, 86.9162460652, 37
40.4309029959, 86.9162460832, 42
40.4309029884, 86.9162461002, 39
40.4309029809, 86.9162461212, 41
40.4309029744, 86.9162461405, 36
40.4309029696, 86.9162461625, 39
40.4309030000, 86.9162460000, 40.4309029964, 86.9162460251, 46
40.4309029963, 86.9162460258, 5
40.4309029962, 86.9162460265, 5
40.4309029960, 86.9162460278, 6
40.4309029959, 86.9162460284, 7
40.4309029958, 86.9162460291, 7
40.4309029957, 86.9162460297, 8
40.4309029956, 86.9162460304, 6
40.4309029954, 86.9162460317, 9
40.4309029954, 86.9162460324, 8
40.4309029953, 86.9162460330, 8
40.4309029952, 86.9162460337, 8
40.4309029951, 86.9162460343, 5
40.4309029949, 86.9162460357, 6
40.4309029948, 86.9162460363, 5
40.4309029948, 86.9162460370, 7
40.4309029947, 86.9162460376, 7
40.4309029945, 86.9162460390, 9
40.4309029944, 86.9162460396, 5
40.4309029942, 86.9162460409, 6
40.4309029942, 86.9162460416, 5
40.4309029941, 86.9162460423, 7
40.4309029940, 86.9162460429, 7
40.4309029939, 86.9162460436, 8
40.4309029938, 86.9162460443, 5
40.4309029937, 86.9162460456, 6
40.4309029936, 86.9162460462, 5
40.4309029934, 86.9162460475, 7
40.4309029933, 86.9162460482, 7
40.4309029931, 86.9162460495, 8
40.4309029929, 86.9162460508, 7
40.4309029928, 86.9162460515, 7
40.4309029928, 86.9162460521, 8
40.4309029927, 86.9162460528, 8
40.4309029926, 86.9162460535, 8
40.4309029925, 86.9162460541, 5
40.4309029924, 86.9162460548, 5
40.4309029923, 86.9162460555, 26
40.4309029921, 86.9162460568, 8
40.4309029919, 86.9162460581, 7
40.4309029918, 86.9162460588, 6
40.4309029917, 86.9162460595, 7
40.4309029877, 86.9162460797, 36
40.4309029834, 86.9162460996, 37
40.4309029791, 86.9162461179, 38
40.4309029738, 86.9162461366, 40
40.4309030000, 86.9162470000, 40.4309029943, 86.9162470245, 47
40.4309029909, 86.9162470457, 38
40.4309029876, 86.9162470701, 39
40.4309029847, 86.9162470968, 39
40.4309029809, 86.9162471200, 38
40.4309029725, 86.9162471443, 43
40.4309029610, 86.9162471655, 38
40.4309029442, 86.9162471894, 41
40.4309029263, 86.9162472134, 38
40.4309030000, 86.9162470000, 40.4309029766, 86.9162470285, 43
40.4309029760, 86.9162470292, 5
40.4309029754, 86.9162470300, 6
40.4309029741, 86.9162470315, 8
40.4309029735, 86.9162470322, 7
40.4309029729, 86.9162470330, 5
40.4309029723, 86.9162470338, 5
40.4309029716, 86.9162470345, 5
40.4309029710, 86.9162470353, 7
40.4309029698, 86.9162470368, 8
40.4309029692, 86.9162470376, 8
40.4309029685, 86.9162470384, 5
40.4309029679, 86.9162470391, 5
40.4309029667, 86.9162470407, 6
40.4309029661, 86.9162470415, 7
40.4309029655, 86.9162470423, 7
40.4309029649, 86.9162470431, 8
40.4309029642, 86.9162470438, 5
40.4309029636, 86.9162470446, 5
40.4309029630, 86.9162470454, 6
40.4309029624, 86.9162470462, 7
40.4309029618, 86.9162470470, 7
40.4309029612, 86.9162470478, 8
40.4309029605, 86.9162470486, 5
40.4309029593, 86.9162470502, 6
40.4309029586, 86.9162470509, 5
40.4309029580, 86.9162470517, 7
40.4309029573, 86.9162470525, 7
40.4309029560, 86.9162470541, 8
40.4309029553, 86.9162470548, 5
40.4309029547, 86.9162470556, 5
