40.3946000006, 86.8769869997, 42
40.3946000019, 86.8769869986, 38
40.3946000036, 86.8769869967, 41
40.3946000056, 86.8769869946, 39
40.3946000079, 86.8769869917, 39
40.3946000107, 86.8769869886, 42
40.3946000137, 86.8769869854, 38
40.3946000174, 86.8769869809, 40
40.3946000000, 86.8769870000, 40.3946000050, 86.8769869941, 46
40.3946000092, 86.8769869889, 37
40.3946000095, 86.8769869886, 8
40.3946000098, 86.8769869883, 8
40.3946000099, 86.8769869881, 8
40.3946000100, 86.8769869879, 8
40.3946000102, 86.8769869878, 6
40.3946000105, 86.8769869874, 9
40.3946000107, 86.8769869871, 9
40.3946000109, 86.8769869869, 7
40.3946000110, 86.8769869867, 8
40.3946000112, 86.8769869865, 7
40.3946000113, 86.8769869864, 8
40.3946000114, 86.8769869862, 8
40.3946000116, 86.8769869860, 8
40.3946000119, 86.8769869856, 9
40.3946000120, 86.8769869855, 6
40.3946000123, 86.8769869851, 9
40.3946000126, 86.8769869847, 8
40.3946000127, 86.8769869846, 7
40.3946000129, 86.8769869844, 8
40.3946000130, 86.8769869842, 7
40.3946000132, 86.8769869840, 8
40.3946000133, 86.8769869838, 8
40.3946000135, 86.8769869836, 8
40.3946000136, 86.8769869834, 8
40.3946000139, 86.8769869831, 7
40.3946000142, 86.8769869827, 9
40.3946000144, 86.8769869825, 8
40.3946000147, 86.8769869821, 8
40.3946000149, 86.8769869819, 8
40.3946000150, 86.8769869817, 7
40.3946000152, 86.8769869815, 8
40.3946000153, 86.8769869813, 8
40.3946000155, 86.8769869811, 8
40.3946000156, 86.8769869809, 8
40.3946000209, 86.8769869735, 39
40.3946000273, 86.8769869651, 60
40.3946000341, 86.8769869569, 38
40.3946000421, 86.8769869480, 38
40.3945990000, 86.8769870000, 40.3945990095, 86.8769869881, 47
40.3945990177, 86.8769869764, 39
40.3945990259, 86.8769869645, 37
40.3945990355, 86.8769869512, 40
40.3945990448, 86.8769869391, 36
40.3945990559, 86.8769869254, 42
40.3945990676, 86.8769869112, 42
40.3945990783, 86.8769868976, 38
40.3945990899, 86.8769868817, 41
40.3945990999, 86.8769868672, 35
40.3945990000, 86.8769870000, 40.3945990128, 86.8769869809, 45
40.3945990135, 86.8769869799, 7
40.3945990138, 86.8769869794, 8
40.3945990142, 86.8769869789, 8
40.3945990149, 86.8769869779, 9
40.3945990152, 86.8769869774, 8
40.3945990156, 86.8769869769, 6
40.3945990162, 86.8769869759, 9
40.3945990166, 86.8769869754, 8
40.3945990169, 86.8769869748, 8
40.3945990176, 86.8769869738, 9
40.3945990180, 86.8769869733, 7
40.3945990183, 86.8769869728, 8
40.3945990187, 86.8769869723, 8
40.3945990194, 86.8769869713, 9
40.3945990197, 86.8769869708, 8
40.3945990201, 86.8769869702, 7
40.3945990204, 86.8769869697, 8
40.3945990208, 86.8769869692, 8
40.3945990211, 86.8769869687, 8
40.3945990215, 86.8769869682, 8
40.3945990222, 86.8769869672, 8
40.3945990225, 86.8769869666, 8
40.3945990229, 86.8769869661, 8
40.3945990232, 86.8769869656, 8
40.3945990236, 86.8769869651, 8
40.3945990239, 86.8769869646, 5
40.3945990243, 86.8769869640, 5
40.3945990246, 86.8769869635, 6
40.3945990254, 86.8769869625, 8
40.3945990257, 86.8769869619, 7
40.3945990264, 86.8769869609, 8
40.3945990271, 86.8769869598, 7
40.3945990275, 86.8769869593, 8
40.3945990278, 86.8769869588, 8
40.3945990282, 86.8769869582, 8
40.3945990285, 86.8769869577, 8
40.3945990411, 86.8769869394, 39
40.3945990532, 86.8769869219, 38
40.3945990656, 86.8769869033, 37
40.3945990784, 86.8769868838, 67
40.3945990000, 86.8769880000, 40.3945990168, 86.8769879758, 48
40.3945990322, 86.8769879531, 40
40.3945990454, 86.8769879322, 36
40.3945990607, 86.8769879073, 41
40.3945990761, 86.8769878820, 40
40.3945990906, 86.8769878585, 40
40.3945991087, 86.8769878312, 41
40.3945991257, 86.8769878068, 37
40.3945991466, 86.8769877781, 41
40.3945990000, 86.8769880000, 40.3945990242, 86.8769879668, 45
40.3945990442, 86.8769879399, 37
40.3945990449, 86.8769879390, 7
40.3945990455, 86.8769879382, 7
40.3945990462, 86.8769879373, 8
40.3945990468, 86.8769879364, 8
40.3945990475, 86.8769879356, 5
40.3945990481, 86.8769879347, 5
40.3945990487, 86.8769879338, 5
40.3945990494, 86.8769879329, 7
40.3945990500, 86.8769879321, 7
40.3945990507, 86.8769879312, 8
40.3945990513, 86.8769879303, 5
40.3945990520, 86.8769879294, 5
40.3945990526, 86.8769879286, 5
40.3945990532, 86.8769879277, 7
40.3945990539, 86.8769879268, 7
40.3945990545, 86.8769879259, 8
40.3945990558, 86.8769879242, 6
40.3945990565, 86.8769879233, 5
40.3945990571, 86.8769879224, 5
40.3945990577, 86.8769879215, 7
40.3945990584, 86.8769879206, 7
40.3945990590, 86.8769879197, 8
40.3945990597, 86.8769879188, 5
40.3945990603, 86.8769879179, 5
40.3945990616, 86.8769879161, 6
40.3945990623, 86.8769879152, 7
40.3945990629, 86.8769879143, 7
40.3945990642, 86.8769879125, 8
40.3945990649, 86.8769879116, 5
40.3945990655, 86.8769879107, 5
40.3945990662, 86.8769879098, 5
40.3945990675, 86.8769879080, 8
40.3945990682, 86.8769879071, 7
40.3945990688, 86.8769879062, 8
40.3945990695, 86.8769879053, 7
40.3945990702, 86.8769879044, 8
40.3945990708, 86.8769879035, 8
40.3945990715, 86.8769879026, 8
40.3945990722, 86.8769879017, 8
40.3945990935, 86.8769878727, 39
40.3945991144, 86.8769878435, 39
