40.4307080001   Longitude: 86.9158089980, 40
40.4307080017   Longitude: 86.9158089952, 39
40.4307080038   Longitude: 86.9158089910, 37
40.4307080067   Longitude: 86.9158089857, 41
40.4307080084   Longitude: 86.9158089790, 36
40.4307080095   Longitude: 86.9158089700, 44
40.4307080099   Longitude: 86.9158089625, 38
40.4307080000   Longitude: 86.9158090000, 40.4307079983   Longitude: 86.9158089895, 45
40.4307079982   Longitude: 86.9158089892, 7
40.4307079982   Longitude: 86.9158089889, 5
40.4307079981   Longitude: 86.9158089883, 6
40.4307079980   Longitude: 86.9158089881, 5
40.4307079980   Longitude: 86.9158089878, 7
40.4307079979   Longitude: 86.9158089872, 9
40.4307079978   Longitude: 86.9158089869, 8
40.4307079977   Longitude: 86.9158089867, 5
40.4307079977   Longitude: 86.9158089864, 5
40.4307079976   Longitude: 86.9158089861, 5
40.4307079975   Longitude: 86.9158089855, 8
40.4307079974   Longitude: 86.9158089852, 7
40.4307079974   Longitude: 86.9158089850, 8
40.4307079973   Longitude: 86.9158089847, 5
40.4307079973   Longitude: 86.9158089844, 5
40.4307079972   Longitude: 86.9158089841, 5
40.4307079971   Longitude: 86.9158089838, 7
40.4307079971   Longitude: 86.9158089836, 7
40.4307079969   Longitude: 86.9158089830, 9
40.4307079969   Longitude: 86.9158089827, 5
40.4307079968   Longitude: 86.9158089824, 5
40.4307079968   Longitude: 86.9158089821, 5
40.4307079967   Longitude: 86.9158089818, 6
40.4307079966   Longitude: 86.9158089813, 8
40.4307079965   Longitude: 86.9158089810, 7
40.4307079965   Longitude: 86.9158089807, 6
40.4307079964   Longitude: 86.9158089804, 8
40.4307079963   Longitude: 86.9158089801, 8
40.4307079963   Longitude: 86.9158089798, 8
40.4307079962   Longitude: 86.9158089795, 8
40.4307079961   Longitude: 86.9158089789, 6
40.4307079960   Longitude: 86.9158089786, 5
40.4307079960   Longitude: 86.9158089783, 5
40.4307079959   Longitude: 86.9158089780, 7
40.4307079958   Longitude: 86.9158089774, 8
40.4307079957   Longitude: 86.9158089771, 7
40.4307079957   Longitude: 86.9158089768, 5
40.4307079956   Longitude: 86.9158089765, 5
40.4307079955   Longitude: 86.9158089759, 6
40.4307079954   Longitude: 86.9158089756, 34
40.4307079953   Longitude: 86.9158089752, 5
40.4307079952   Longitude: 86.9158089749, 5
40.4307079951   Longitude: 86.9158089743, 6
40.4307079949   Longitude: 86.9158089737, 7
40.4307079948   Longitude: 86.9158089734, 7
40.4307079919   Longitude: 86.9158089638, 39
40.4307079895   Longitude: 86.9158089547, 38
40.4307079881   Longitude: 86.9158089454, 37
40.4307079881   Longitude: 86.9158089362, 37
40.4307090000   Longitude: 86.9158100000, 40.4307089996   Longitude: 86.9158099861, 45
40.4307089983   Longitude: 86.9158099727, 40
40.4307089952   Longitude: 86.9158099560, 40
40.4307089899   Longitude: 86.9158099363, 40
40.4307089844   Longitude: 86.9158099177, 37
40.4307089780   Longitude: 86.9158098957, 40
40.4307089731   Longitude: 86.9158098766, 36
40.4307089698   Longitude: 86.9158098574, 42
40.4307089680   Longitude: 86.9158098398, 39
40.4307090000   Longitude: 86.9158100000, 40.4307089982   Longitude: 86.9158099772, 43
40.4307089981   Longitude: 86.9158099766, 7
40.4307089981   Longitude: 86.9158099760, 7
40.4307089981   Longitude: 86.9158099754, 5
40.4307089980   Longitude: 86.9158099748, 5
40.4307089980   Longitude: 86.9158099742, 5
40.4307089978   Longitude: 86.9158099730, 8
40.4307089978   Longitude: 86.9158099724, 7
40.4307089977   Longitude: 86.9158099718, 8
40.4307089977   Longitude: 86.9158099712, 5
